nomor_polisi,jenis_kendaraan,merk,lokasi,keterangan
B 6381 PUQ,Sepeda Motor,Honda Revo New Spoke,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6382 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6383 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6384 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6385 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6378 PUQ,Sepeda Motor,Honda Revo New Spoke,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 4392 PQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6389 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6377 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6387 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 8735 EQ,Sepeda Motor,Suzuki A100,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Biro Perlengkapan
B 4946 EQ,Sepeda Motor,Suzuki A100,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Biro Perlengkapan
B 3787 HQ,Sepeda Motor,Suzuki ,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Hibah
,Sepeda Motor,Suzuki A100,Biro Hukum,
,Sepeda Motor,Suzuki A100,Biro Hukum,
B 6054 PBQ,Sepeda Motor,Suzuki A100,Biro Tata Pemerintahan,Asal-usul/Cara Perolehan melalui Pembelian
B 6388 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 4099 PQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6672 PEQ,Sepeda Motor,Suzuki Smash,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 4391 PQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6061 PBQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 4386 PQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
